CODICOMAR,CODIMUNI,NAME,CAPITAL,LAT,LON,ALT,INHABITANTS
1,8100170005,Alt Camp,Valls,41.2873,1.25158,226.6943,25092
2,8100220002,Alt Empordà,Figueres,42.2675,2.96084,44.94663,43330
3,8100380001,Alt Penedès,Vilafranca del Penedès,41.3451,1.69985,230.5926,38425
4,8100430008,Alt Urgell,la Seu d'Urgell,42.3567,1.45966,687.3732,13063
5,8100560009,Alta Ribagorça,el Pont de Suert,42.4085,0.74177,829.2844,2570
6,8100690004,Anoia,Igualada,41.5788,1.61719,324.2647,38918
7,8100750006,Bages,Manresa,41.7252,1.82335,236.034,76558
8,8100810007,Baix Camp,Reus,41.1548,1.10868,127.8296,107118
9,8100940003,Baix Ebre,Tortosa,40.8110,0.52100,15.76711,35143
10,8101080001,Baix Empordà,la Bisbal d'Empordà,41.9602,3.04018,41.58906,10385
11,8101150006,Baix Llobregat,Sant Feliu de Llobregat,41.3809,2.04517,31.72373,42919
12,8101200000,Baix Penedès,el Vendrell,41.2204,1.53485,55.17534,35821
13,8101360009,Barcelonès,Barcelona,41.3879,2.16992,19.99069,1621537
14,8101410007,Berguedà,Berga,42.1014,1.84380,717.4442,17160
15,8101540003,Cerdanya,Puigcerdà,42.4314,1.92773,1184.155,9022
16,8101670005,Conca de Barberà,Montblanc,41.3769,1.16147,352.0974,7305
17,8101730008,Garraf,Vilanova i la Geltrú,41.2242,1.72557,25.03975,65890
18,8101890004,Garrigues,les Borges Blanques,41.5205,0.86920,305.5594,6058
19,8101920002,Garrotxa,Olot,42.1821,2.48819,445.0352,33524
20,8102060009,Gironès,Girona,41.9818,2.82370,69.02268,96188
21,8102130008,Maresme,Mataró,41.5375,2.44528,20.37009,121722
22,8102280001,Montsià,Amposta,40.7123,0.57997,13.08101,21240
23,8102340003,Noguera,Balaguer,41.7897,0.80524,227.2513,16779
24,8102490004,Osona,Vic,41.9303,2.25435,505.4679,39844
25,8102520002,Pallars Jussà,Tremp,42.1686,0.89490,470.7209,6228
26,8102650006,Pallars Sobirà,Sort,42.4102,1.12876,690.4686,2382
27,8102710007,Pla d'Urgell,Mollerussa,41.6300,0.89413,255.1743,14319
28,8102870005,Pla de l'Estany,Banyoles,42.1181,2.76475,180.4805,18327
29,8102900000,Priorat,Falset,41.1463,0.82127,372,2864
30,8103040003,Ribera d'Ebre,Móra d'Ebre,41.0886,0.63916,51.02542,5695
31,8103110007,Ripollès,Ripoll,42.2008,2.19062,696.5365,11057
32,8103260009,Segarra,Cervera,41.6683,1.27515,514.1133,9328
33,8103320002,Segrià,Lleida,41.6142,0.62578,166.4499,135919
34,8103470005,Selva,Santa Coloma de Farners,41.8608,2.66777,140.2747,11739
35,8103500000,Solsonès,Solsona,41.9936,1.51770,679.2817,9233
36,8103630008,Tarragonès,Tarragona,41.1187,1.24533,26.26264,140323
37,8103790004,Terra Alta,Gandesa,41.0521,0.43869,377.5729,3236
38,8103850006,Urgell,Tàrrega,41.6469,1.13922,382.5588,16539
39,8103980001,Val d'Aran,Vielha,42.7017,0.79564,990.1799,5710
40,8104020002,Vallès Occidental,Sabadell,41.5486,2.10742,198.7852,206493
41,8104190004,Vallès Oriental,Granollers,41.6082,2.28779,153.9423,60658
42,8104240003,Moianès,Moià,41.8128,2.09743,730.1093,5710
